Date,Close/Last,Volume,Open,High,Low,Day
03/30/2022,"2,783.07",4593,"2,764.83","2,836.83","2,544.03",399
03/31/2022,"2,745.63",4487,"2,793.63","2,951.07","2,655.39",400
04/01/2022,"2,822.43",15347,"3,109.47","3,309.15","2,719.71",401
04/04/2022,"3,021.15",13392,"2,755.23","3,187.23","2,649.63",402
04/05/2022,"2,757.15",9315,"2,496.03","2,760.03","2,425.94",403
04/06/2022,"2,439.38",6190,"2,234.90","2,482.58","2,166.74",404
04/07/2022,"2,260.82",3595,"2,207.06","2,323.22","2,159.06",405
04/08/2022,"2,193.62",6538,"2,112.02","2,332.81","2,112.02",406
04/11/2022,"2,160.02",9844,"1,900.82","2,246.42","1,899.86",407
04/12/2022,"1,920.02",5853,"1,846.10","1,927.70","1,825.94",408
04/13/2022,"1,872.02",4476,"1,864.34","1,894.10","1,824.02",409
04/14/2022,"1,920.02",6429,"1,855.70","1,925.78","1,776.02",410
04/18/2022,"1,929.62",6470,"2,047.70","2,066.90","1,900.82",411
04/19/2022,"2,016.02",5028,"1,939.22","2,092.82","1,920.02",412
04/20/2022,"1,920.02",6732,"1,976.66","2,018.90","1,881.62",413
04/21/2022,"2,016.02",6810,"2,097.62","2,109.14","1,979.54",414
04/22/2022,"2,109.14",7307,"2,283.86","2,352.02","2,088.02",415
04/25/2022,"2,276.18",7813,"2,365.46","2,419.22","2,254.10",416
04/26/2022,"2,262.74",8370,"2,194.58","2,515.23","2,193.62",417
04/27/2022,"2,178.26",10595,"2,179.22","2,341.46","2,145.62",418
04/28/2022,"2,240.66",6268,"2,271.38","2,317.46","2,121.62",419
04/29/2022,"2,349.14",19601,"2,689.95","2,689.95","2,111.06",420
05/02/2022,"2,695.71",22520,"2,784.03","3,199.71","2,563.23",421
05/03/2022,"4,318.12",27784,"3,890.92","4,694.45","3,844.84",422
05/04/2022,"3,839.08",16650,"3,345.63","4,010.92","3,333.15",423
05/05/2022,"3,350.43",6734,"3,168.03","3,358.11","3,073.95",424
05/06/2022,"3,168.03",7701,"2,981.79","3,253.47","2,902.11",425
05/09/2022,"3,036.51",10037,"3,308.19","3,373.47","2,957.79",426
05/10/2022,"3,146.91",8524,"2,952.03","3,216.03","2,880.99",427
05/11/2022,"2,964.51",13660,"3,264.03","3,265.95","2,750.43",428
05/12/2022,"3,208.35",24772,"3,803.56","3,936.04","3,072.03",429
05/13/2022,"3,433.95",26412,"2,659.23","3,572.20","2,467.22",430
05/16/2022,"2,612.19",10586,"2,376.02","2,678.43","2,275.22",431
05/17/2022,"2,304.02",6631,"2,160.02","2,380.82","2,141.78",432
05/18/2022,"2,102.42",6851,"2,208.02","2,289.62","2,054.42",433
05/19/2022,"2,367.38",9499,"2,603.55","2,620.83","2,208.02",434
05/20/2022,"2,397.14",10263,"2,238.74","2,435.54","2,188.82",435
05/23/2022,"2,112.02",5589,"2,088.98","2,207.06","2,002.58",436
05/24/2022,"1,985.30",6114,"2,049.62","2,096.66","1,728.02",437
05/25/2022,"2,070.74",5624,"2,223.38","2,226.26","2,016.02",438
05/26/2022,"2,237.78",5046,"2,157.14","2,327.06","2,140.82",439
05/27/2022,"2,154.26",5466,"2,218.58","2,234.90","2,112.02",440
05/31/2022,"2,138.90",5621,"2,180.18","2,304.02","2,102.42",441
06/01/2022,"2,100.50",7102,"2,372.18","2,419.22","2,092.82",442
06/02/2022,"2,448.02",4887,"2,330.90","2,543.07","2,304.02",443
06/03/2022,"2,390.42",8412,"2,491.22","2,664.03","2,256.02",444
06/06/2022,"2,615.07",13399,"2,417.30","2,678.43","2,184.98",445
06/07/2022,"2,331.86",16192,"1,943.06","2,393.30","1,918.10",446
06/08/2022,"1,861.46",7955,"1,872.02","2,015.06","1,812.50",447
06/09/2022,"1,899.86",17918,"2,591.07","2,631.39","1,824.02",448
06/10/2022,"2,341.46",6094,"2,479.70","2,482.58","2,256.02",449
06/13/2022,"2,543.07",9058,"2,304.02","2,572.83","2,046.74",450
06/14/2022,"2,302.10",11763,"2,327.06","2,483.54","2,064.02",451
06/15/2022,"2,172.50",10934,"1,728.02","2,202.26","1,728.02",452
06/16/2022,"1,703.06",5710,"1,481.29","1,728.02","1,440.01",453
06/17/2022,"1,452.49",5769,"1,553.30","1,617.62","1,420.81",454
06/21/2022,"1,464.97",4553,"1,635.86","1,680.02","1,420.81",455
